gene_id,NC-1_FPKM,NC-2_FPKM,NC-3_FPKM,si-hnrnpa2b1-1_FPKM,si-hnrnpa2b1-2_FPKM,si-hnrnpa2b1-3_FPKM,NC-1_count,NC-2_count,NC-3_count,si-hnrnpa2b1-1_count,si-hnrnpa2b1-2_count,si-hnrnpa2b1-3_count
ENSRNOG00000012772,41.13022846,39.25524671,37.56486628,40.51770135,43.78046104,40.32417303,913,829,875,974,1017,936
ENSRNOG00000012775,22.95532634,21.09038578,24.30663402,21.09254812,21.17746944,20.54317796,405,354,450,403,391,379
ENSRNOG00000012779,0,0.012724432,0,0,0,0,0,1,0,0,0,0
ENSRNOG00000012778,88.96956533,79.56833582,80.53681466,90.19475637,89.88769299,85.69183109,838,713,796,920,886,844
ENSRNOG00000015928,2.336273663,2.492727544,2.685137707,2.395849217,2.468099224,2.548565743,199,202,240,221,220,227
ENSRNOG00000015921,4.746408251,3.419637652,4.223674578,4.426431226,4.625704562,4.899755385,302,207,282,305,308,326
ENSRNOG00000015925,14.81499305,14.04491887,14.99656768,14.05671539,13.81828565,15.1676111,836,754,888,859,816,895
ENSRNOG00000015924,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000057097,0.835766283,0.195218706,0.560478429,0.457329288,0.266224971,0.414439211,27,6,19,16,9,14
ENSRNOG00000054993,0.298317523,0.156747934,0,0,0.142476219,0,2,1,0,0,1,0
ENSRNOG00000057095,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000057094,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000057093,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000057092,29.86387902,37.16434996,26.33582456,29.25937109,29.9029534,34.45154603,2278,2697,2108,2417,2387,2748
ENSRNOG00000057091,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000057090,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000051743,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000057099,0.020876975,0,0,0,0,0,1,0,0,0,0,0
ENSRNOG00000057098,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000003232,206.9632478,213.0834474,205.8189879,195.955245,175.264846,173.0273063,4341,4252,4530,4451,3847,3795
ENSRNOG00000003233,0.235728353,0,0.308903731,0.190473674,0.140792489,0.25362665,8,0,11,7,5,9
ENSRNOG00000054990,0.230570601,0,0.109890752,0,0.275423881,0.110262626,4,0,2,0,5,2
ENSRNOG00000003237,12.07637336,12.76426348,11.78026936,12.15820549,11.23547573,11.16381195,720,724,737,785,701,696
ENSRNOG00000003234,30.6356262,29.24000792,31.53811326,26.98836029,25.94884075,27.79139652,1109,1007,1198,1058,983,1052
ENSRNOG00000003235,22.12704119,19.04361441,24.20005922,19.39019111,20.88880868,21.27395489,745,610,855,707,736,749
ENSRNOG00000003239,10.8165106,10.27731389,12.4913586,11.11976481,10.4124697,10.42039243,406,367,492,452,409,409
ENSRNOG00000007922,0.288136293,0.173075844,0,0.380133809,0.118027058,0,7,4,0,10,3,0
ENSRNOG00000007923,0.32067737,0.280874397,0.050941093,0.049337267,0.30641189,0,6,5,1,1,6,0
ENSRNOG00000007920,70.19376659,73.46619404,75.16539653,83.55531342,82.40879813,76.75776458,1868,1860,2099,2408,2295,2136
ENSRNOG00000007921,174.8651711,177.8296121,178.7641055,167.968743,162.7769585,159.0565331,5568,5387,5973,5792,5424,5296
ENSRNOG00000007926,8.731608,9.285642646,8.321056378,7.826436881,8.221449843,8.643984814,341,345,341,331,336,353
ENSRNOG00000007927,0.90039279,0.177457511,0.697176685,0.311816097,0.376420397,0.484378745,16,3,13,6,7,9
ENSRNOG00000007924,3.969491239,4.263441855,4.44312455,4.251955079,4.275945852,4.320612264,275,281,323,319,310,313
